Phase,Algorithm,DatasetSize,DataType,TimeMicroseconds
Phase 3 Overtake Check,Heap Sort,50000,5-Digit Postal Codes,2002
Phase 3 Overtake Check,Radix Sort,50000,5-Digit Postal Codes,3080
Phase 3 Overtake Check,Heap Sort,100000,5-Digit Postal Codes,6507
Phase 3 Overtake Check,Radix Sort,100000,5-Digit Postal Codes,4511
Phase 3 Overtake Check,Heap Sort,250000,5-Digit Postal Codes,19670
Phase 3 Overtake Check,Radix Sort,250000,5-Digit Postal Codes,12536
Phase 3 Overtake Check,Heap Sort,500000,5-Digit Postal Codes,43136
Phase 3 Overtake Check,Radix Sort,500000,5-Digit Postal Codes,24549
Phase 3 Overtake Check,Heap Sort,1000000,5-Digit Postal Codes,89839
Phase 3 Overtake Check,Radix Sort,1000000,5-Digit Postal Codes,51728
